id;usuario;clave;estado
1;51554;circuit transmitting;Gorgeous deposit digital
2;77200;benchmark Kids invoice;Rustic Soft Bike iterate connecting
3;68903;Path transmitting matrices;neural supply-chains program
4;57874;Steel;Berkshire even-keeled SCSI
5;14588;Triple-buffered;payment indigo
6;90475;open-source Automotive Health;Metrics PCI Handcrafted Rubber Pants
7;6431;logistical bluetooth;Honduras 4th generation
8;73563;azure;Bedfordshire interactive Front-line
9;82023;Myanmar circuit;Tasty
10;11539;Gloves virtual payment;radical Sleek Concrete Mouse Intuitive
